decimalLatitude,decimalLongitude,eventDate,month,species
-23.0322,113.715,2009-04-07 12:00:00+00:00,4,whale_shark
-22.00142,113.89848,1997-04-27 12:00:00+00:00,4,whale_shark
12.6528806595,121.6156155872,2024-08-24 10:01:27+00:00,8,whale_shark
21.73333,-87.08334,2004-08-11 12:00:00+00:00,8,whale_shark
-21.9614,113.90745,2005-07-01 12:00:00+00:00,7,whale_shark
12.9333,123.533,2008-04-06 12:00:00+00:00,4,whale_shark
12.9333,123.533,2006-04-10 12:00:00+00:00,4,whale_shark
-10.5019,105.6772,2006-01-10 12:00:00+00:00,1,whale_shark
-21.9013,113.9015,2003-05-06 12:00:00+00:00,5,whale_shark
-23.0322,113.715,2001-04-01 12:00:00+00:00,4,whale_shark
12.9333,123.533,2008-04-25 12:00:00+00:00,4,whale_shark
12.9333,123.533,2008-04-26 12:00:00+00:00,4,whale_shark
20.69306,-156.55083,2009-01-05 12:00:00+00:00,1,whale_shark
-21.9013,113.9015,2008-04-24 12:00:00+00:00,4,whale_shark
-23.0322,113.715,2009-04-21 12:00:00+00:00,4,whale_shark
-8.1331152455,117.594545538,2023-06-28 22:34:00+00:00,6,whale_shark
-23.9736,35.5122,2006-10-15 12:00:00+00:00,10,whale_shark
12.9333,123.533,2007-04-22 12:00:00+00:00,4,whale_shark
-23.0322,113.715,2009-04-06 12:00:00+00:00,4,whale_shark
12.9333,123.533,2008-04-10 12:00:00+00:00,4,whale_shark
-23.9736,35.5122,2008-02-27 12:00:00+00:00,2,whale_shark
-21.9013,113.9015,2008-04-07 12:00:00+00:00,4,whale_shark
16.830547917,82.303586589,2015-02-21 12:42:21+00:00,2,whale_shark
-23.0322,113.715,2008-06-01 12:00:00+00:00,6,whale_shark
12.9333,123.533,2009-03-19 12:00:00+00:00,3,whale_shark
-21.9013,113.9015,2004-04-25 12:00:00+00:00,4,whale_shark
-28.015,-95.875,2006-06-10 12:00:00+00:00,6,whale_shark
-23.9736,35.5122,2008-09-23 12:00:00+00:00,9,whale_shark
-21.9013,113.9015,2005-05-14 12:00:00+00:00,5,whale_shark
21.4400116774,-86.8531434121,2017-08-01 15:58:00+00:00,8,whale_shark
-21.8362505848,113.8227944189,2016-07-20 05:20:00+00:00,7,whale_shark
-23.0322,113.715,2007-03-25 12:00:00+00:00,3,whale_shark
-23.0322,113.715,2008-04-13 12:00:00+00:00,4,whale_shark
