decimalLatitude,decimalLongitude,eventDate,month,species,sst
-21.9013,113.9015,2005-05-09 12:00:00+00:00,5,whale_shark,25.675786608329787
-23.0322,113.715,2009-06-01 12:00:00+00:00,6,whale_shark,25.036788672847557
-21.9013,113.9015,2005-06-24 12:00:00+00:00,6,whale_shark,25.675786608329787
-22.83628,113.6976,1999-04-28 12:00:00+00:00,4,whale_shark,25.064461092996922
-21.9013,113.9015,2007-06-04 12:00:00+00:00,6,whale_shark,25.675786608329787
-23.0322,113.715,2008-04-29 12:00:00+00:00,4,whale_shark,25.036788672847557
-21.9013,113.9015,2001-05-26 12:00:00+00:00,5,whale_shark,25.675786608329787
-21.9013,113.9015,2009-04-04 12:00:00+00:00,4,whale_shark,25.675786608329787
16.13507,-86.88602,2006-03-26 12:00:00+00:00,3,whale_shark,28.382852796658298
12.9333,123.533,2007-04-21 12:00:00+00:00,4,whale_shark,28.51596874092765
23.83861,57.96861,2008-10-04 12:00:00+00:00,10,whale_shark,28.32056280511011
-23.9736,35.5122,2005-11-23 12:00:00+00:00,11,whale_shark,25.938334449139674
-2.5570498433,135.4727617377,2012-07-14 12:16:00+00:00,7,whale_shark,29.740458751123903
-21.96667,113.9,2009-05-27 12:00:00+00:00,5,whale_shark,25.518224411162183
-21.9013,113.9015,2009-04-12 12:00:00+00:00,4,whale_shark,25.675786608329787
12.93028,123.54278,2007-05-04 12:00:00+00:00,5,whale_shark,28.51596874092765
30.38333,-87.23333,2008-08-01 12:00:00+00:00,8,whale_shark,23.126168567518576
3.9169256522,73.5071884625,2013-11-12 04:20:35+00:00,11,whale_shark,29.173079101735905
-21.9013,113.9015,2004-05-19 12:00:00+00:00,5,whale_shark,25.675786608329787
12.9333,123.533,2009-12-08 12:00:00+00:00,12,whale_shark,28.51596874092765
-21.9013,113.9015,2006-06-22 12:00:00+00:00,6,whale_shark,25.675786608329787
16.1392,-86.9041,2006-06-07 12:00:00+00:00,6,whale_shark,28.382852796658298
12.9333,123.533,2008-05-05 12:00:00+00:00,5,whale_shark,28.51596874092765
-8.2782336028,127.1115441418,2025-04-16 01:44:00+00:00,4,whale_shark,28.831730592625714
-21.9013,113.9015,2005-05-31 12:00:00+00:00,5,whale_shark,25.675786608329787
-23.9736,35.5122,2008-11-29 12:00:00+00:00,11,whale_shark,25.938334449139674
12.9333,123.533,2008-04-05 12:00:00+00:00,4,whale_shark,28.51596874092765
-23.9736,35.5122,2009-02-14 12:00:00+00:00,2,whale_shark,25.938334449139674
-23.9736,35.5122,2007-03-11 12:00:00+00:00,3,whale_shark,25.938334449139674
12.9333,123.533,2009-03-04 12:00:00+00:00,3,whale_shark,28.51596874092765
